"filename", "language", "Python", "XML", "Markdown", "JavaScript", "CSS", "JavaScript React", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\.VSCodeCounter\2022-02-26_23-00-58\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 15
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\.VSCodeCounter\2022-02-26_23-00-58\diff.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\.VSCodeCounter\2022-02-26_23-00-58\results.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\.VSCodeCounter\2022-02-26_23-00-58\results.md", "Markdown", 0, 0, 21, 0, 0, 0, 0, 0, 0, 7, 28
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\.idea\misc.xml", "XML", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\.idea\weatherapp.iml", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\app.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 16, 47
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\static\style.css", "CSS", 0, 0, 0, 0, 63, 0, 0, 0, 0, 11, 74
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\templates\bulma.css", "CSS", 0, 0, 0, 0, 9247, 0, 0, 0, 2, 1470, 10719
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\templates\styles.css", "CSS", 0, 0, 0, 0, 9247, 0, 0, 0, 2, 1470, 10719
"c:\Users\joeljo\Desktop\TY-project\landing page\weatherapp\templates\weather.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 73, 0, 6, 79
